Titlu,Are reducere,Reducere,Pret actual,Pret vechi,Status produs,Link produs,Specificatii produs
Laptop ASUS A505ZA-BR262,DA,300 lei,1499.9 lei,"1.799,90 lei",In Stoc,https://altex.ro/laptop-asus-a505za-br262-amd-ryzentm-3-2200u-pana-la-3-4ghz-15-6-hd-4gb-ssd-256gb-amd-radeontm-vega-3-endless/cpd/LAPA505ZABR262/,"Procesor AMD Ryzen™ 3 2200U pana la 3.4GHz, 15.6"" HD, 4GB, SSD 256GB, AMD Radeon™ Vega 3, Endless"
Laptop ASUS A505ZA-BR156,DA,24%,1291.92 lei,"1.699,90 lei",In Stoc,https://altex.ro/laptop-asus-a505za-br156-amd-ryzentm-3-2200u-pana-la-3-4ghz-15-6-hd-4gb-1tb-amd-radeontm-vega-3-endless/cpd/LAPA505ZABR156/,"Procesor AMD Ryzen™ 3 2200U pana la 3.4GHz, 15.6"" HD, 4GB, 1TB, AMD Radeon™ Vega 3, Endless"
Laptop ASUS A541NA-GO182,DA,20%,1039.92 lei,"1.299,90 lei",In Stoc,https://altex.ro/laptop-asus-a541na-go182-intelr-pentiumr-n4200-pana-la-2-5ghz-15-6-4gb-500gb-intelr-hd-graphics-505-endless/cpd/LAPA541NAGO182/,"Procesor Intel® Pentium® N4200 pana la 2.5GHz, 15.6"", 4GB, 500GB, Intel® HD Graphics 505, Endless"
Laptop 2 in 1 LENOVO Miix 310-10ICR,DA,300 lei,799.9 lei,"1.099,90 lei",In Stoc,https://altex.ro/laptop-2-in-1-lenovo-miix-310-10icr-intelr-atomtm-x5-z8350-1-44ghz-10-1-2gb-emmc-64gb-intelr-hd-graphics-windows-10/cpd/TPC80SG005HRI/,"Procesor Intel® Atom™ x5-Z8350 1.44GHz, 10.1"", 2GB, eMMC 64GB, Intel® HD Graphics, Windows 10"
Laptop Gaming ASUS ROG G703GI-E5036T,DA,1500 lei,14499.9 lei,"15.999,90 lei",In Stoc,https://altex.ro/laptop-gaming-asus-rog-g703gi-e5036t-intel-core-i7-8750h-pana-la-3-9ghz-17-3-full-hd-32gb-sshd-1tb-ssd-2-x-256gb-nvidia-geforce-gtx1080-8gb-windows-10-home/cpd/LAPG703GIE5036T/,"Procesor Intel Core i7-8750H pana la 3.9GHz, 17.3"" Full HD, 32GB, SSHD 1TB + SSD 2 x 256GB, NVIDIA GeForce GTX1080 8GB, Windows 10 Home"
Laptop Gaming ASUS ROG Strix Scar GL703GS-E5039R,DA,1000 lei,9999.9 lei,"10.999,90 lei",In Stoc,https://altex.ro/laptop-gaming-asus-rog-strix-scar-gl703gs-e5039r-17-3-full-hd-intel-core-i7-8750h-pana-la-4-1ghz-32gb-sshd-1tb-ssd-256gb-nvidia-geforce-gtx-1070-8gb-windows-10-pro/cpd/LAPGL703GSE5039/,"Procesor 17.3"" Full HD, Intel Core i7-8750H pana la 4.1GHz, 32GB, SSHD 1TB + SSD 256GB, NVIDIA GeForce GTX 1070 8GB, Windows 10 Pro"
Laptop ASUS ROG ZEPHYRUS GM501GS-EI003T,DA,1000 lei,9499.9 lei,"10.499,90 lei",In Stoc,https://altex.ro/laptop-asus-rog-zephyrus-gm501gs-ei003t-intelr-core-i7-8750h-pana-la-4-1ghz-15-6-full-hd-16gb-sshd-1tb-ssd-256gb-nvidia-geforce-gtx-1070-8gb-windows-10/cpd/LAPGM501GSEI003/,"Procesor Intel® Core i7-8750H pana la 4.1GHz, 15.6"" Full HD, 16GB, SSHD 1TB + SSD 256GB, NVIDIA GeForce GTX 1070 8GB, Windows 10"
Laptop ASUS ZenBook Pro 15 UX580GE-BN020R,DA,900 lei,7999.9 lei,"8.899,90 lei",In Stoc,https://altex.ro/laptop-asus-zenbook-pro-15-ux580ge-bn020r-intelr-coretm-i7-8750h-pana-la-4-1ghz-15-6-full-hd-16gb-ssd-512gb-nvidia-geforce-gtx-1050-ti-4gb-windows-10-pro/cpd/LAPUX580GEBN020/,"Procesor Intel® Core™ i7-8750H pana la 4.1GHz, 15.6"" Full HD, 16GB, SSD 512GB, NVIDIA GeForce GTX 1050 Ti 4GB, Windows 10 Pro"
Laptop APPLE MacBook Air 13 mre92ro/a,NU,,7599.9 lei,,In Stoc,https://altex.ro/laptop-apple-macbook-air-13-mre92ro-a-intel-core-i5-pana-la-3-6ghz-13-3-ips-retina-8gb-ssd-256gb-intel-uhd-graphics-617-macos-mojave-layout-ro-space-gray/cpd/LAPMRE92ROA/,"Procesor Intel Core i5 pana la 3.6GHz, 13.3"" IPS Retina, 8GB, SSD 256GB, Intel UHD Graphics 617, macOS Mojave, Layout RO, Space Gray"
Laptop LENOVO Legion Y730-17ICH,NU,,7499.9 lei,,In Stoc,https://altex.ro/laptop-lenovo-legion-y730-17ich-intelr-coretm-i7-8750h-pana-la-4-1ghz-17-3-full-hd-16gb-hdd-1tb-ssd-256gb-nvidia-geforce-gtx-1050-ti-4gb-free-dos/cpd/LAP81HG0028RM/,"Procesor Intel® Core™ i7-8750H pana la 4.1GHz, 17.3"" Full HD, 16GB, HDD 1TB + SSD 256GB, NVIDIA GeForce GTX 1050 Ti 4GB, Free Dos"
Laptop Gaming DELL G5 5587,DA,600 lei,5999.9 lei,"6.599,90 lei",In Stoc,https://altex.ro/laptop-gaming-dell-g5-5587-intelr-coretm-i7-8750h-pana-la-4-1ghz-15-6-full-hd-16gb-1tb-ssd-256gb-nvidia-geforce-gtx-1060-6gb-ubuntu/cpd/LAP55876804/,"Procesor Intel® Core™ i7-8750H pana la 4.1GHz, 15.6"" Full HD, 16GB, 1TB + SSD 256GB, NVIDIA GeForce GTX 1060 6GB, Ubuntu"
Laptop ASUS ZenBook 13 UX331UN-C4088T,NU,,5749.9 lei,,In Stoc,https://altex.ro/laptop-asus-zenbook-13-ux331un-c4088t-intelr-coretm-i7-8550u-pana-la-4-0ghz-13-3-full-hd-8gb-nvidia-geforce-mx150-2gb-windows-10-home-royal-blue/cpd/LAPUX331UNC4088/,"Procesor Intel® Core™ i7-8550U pana la 4.0Ghz, 13.3"" Full HD, 8GB, NVIDIA GeForce MX150 2GB, Windows 10 Home, Royal Blue"
Laptop Gaming ASUS ROG Strix GL503GE-EN035,NU,,4999.9 lei,,In Stoc,https://altex.ro/laptop-gaming-asus-rog-strix-gl503ge-en035-intel-core-i7-8750h-pana-la-4-1ghz-15-6-full-hd-8gb-sshd-1tb-nvidia-geforce-gtx-1050-ti-4gb-free-dos/cpd/LAPGL503GEEN035/,"Procesor Intel Core i7-8750H pana la 4.1GHz, 15.6"" Full HD, 8GB, SSHD 1TB, NVIDIA GeForce GTX 1050 Ti 4GB, Free Dos"
Laptop Gaming MSI GV62 8RD,NU,,4899.9 lei,,In Stoc,https://altex.ro/laptop-gaming-msi-gv62-8rd-intel-core-i7-8750h-pana-la-4-1ghz-15-6-full-hd-8gb-1tb-ssd-128gb-nvidia-geforce-gtx-1050-ti-4gb-free-dos/cpd/LAPGV628RD/,"Procesor Intel Core i7-8750H pana la 4.1GHz, 15.6"" Full HD, 8GB, 1TB + SSD 128GB, NVIDIA GeForce GTX 1050 Ti 4GB, Free Dos"
